4;1;6;12;27;8;14;2;5;5;
1;12;13;13;32;8;1;3;1;6;
12;9;5;11;9;4;2;4;2;5;
11;10;6;12;10;6;6;6;3;14;
2;11;27;13;9;5;5;5;4;14;
3;2;5;11;10;6;3;14;14;36;
10;6;3;7;13;9;4;14;14;36;
9;11;10;12;9;4;14;14;20;14;
4;2;11;13;10;3;20;36;21;14;
6;3;2;11;27;8;21;14;14;14;
11;10;3;2;5;4;14;14;14;14;
12;13;10;6;6;6;3;14;14;14;
5;11;9;11;13;9;4;23;22;14;
14;2;4;7;9;4;14;14;36;36;
6;3;1;12;8;14;14;14;14;36;
9;4;2;5;4;14;36;14;36;36;
8;1;6;3;14;14;14;14;36;14;
4;7;13;10;3;14;14;14;14;14;
3;2;5;5;4;14;14;14;14;18;
8;14;1;3;23;22;14;14;14;14;
