14;6;13;5;3;8;10;11;12;9;8;10;11;12;5;14;3;4;23;6;13;5;3;10;5;3;4;14;3;4;14;1;12;13;11;
1;12;13;5;14;14;3;10;27;5;14;3;8;10;11;2;14;36;22;3;10;11;7;12;5;14;14;36;14;1;2;6;13;13;13;
3;8;8;4;18;14;14;3;8;4;14;36;14;6;13;5;14;14;14;14;6;27;9;8;4;14;14;1;2;6;5;3;8;10;13;
14;36;1;2;14;14;14;14;14;14;14;14;14;3;8;4;14;14;1;7;12;13;11;2;14;18;14;3;4;3;4;14;14;3;10;
2;14;3;4;14;18;14;14;14;14;14;14;14;14;14;14;14;14;3;10;13;9;10;5;14;36;14;1;2;14;14;14;18;14;3;
5;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;1;12;27;11;12;5;14;1;7;12;5;36;14;14;14;14;14;
11;2;14;14;14;18;1;7;7;2;14;14;14;18;14;14;14;18;6;13;13;27;13;11;7;12;9;8;4;14;18;14;14;18;14;
13;11;2;14;18;14;3;10;13;5;14;18;14;14;14;1;7;2;6;13;9;8;10;27;13;9;4;14;14;14;14;18;14;14;1;
8;8;4;1;7;7;2;6;27;11;2;14;14;14;18;3;8;4;3;10;11;7;12;9;8;4;14;14;36;14;14;14;14;14;3;
1;7;7;12;13;13;11;12;13;13;11;2;1;7;2;14;14;14;18;6;13;13;13;11;7;7;7;7;7;7;2;1;2;14;14;
3;8;8;10;13;13;13;13;13;13;13;5;3;8;4;14;14;14;14;3;10;13;13;13;28;29;13;13;13;27;11;12;5;14;14;
14;14;1;12;13;27;13;13;13;13;13;11;7;7;2;14;14;14;14;1;12;13;13;13;9;10;9;8;8;10;13;13;11;7;7;
1;2;3;10;13;13;13;13;13;13;13;13;13;13;11;2;14;14;14;3;10;13;27;13;5;6;11;7;2;6;13;13;9;8;10;
6;5;14;3;10;13;13;13;13;13;13;13;27;13;13;11;2;14;14;14;3;8;10;13;11;12;9;8;4;3;8;8;4;14;3;
3;4;1;7;12;9;10;9;8;8;8;10;13;13;13;13;11;7;7;7;2;14;6;13;13;30;11;2;14;14;36;14;14;14;14;
14;18;6;13;13;5;6;11;7;2;14;6;13;13;13;13;13;13;13;9;4;14;6;13;13;31;13;11;2;14;14;18;14;14;14;
7;2;6;13;13;5;6;13;13;5;14;6;13;13;27;13;13;13;27;11;7;7;12;13;27;13;13;9;4;1;2;1;2;14;14;
9;4;6;13;13;5;3;8;10;5;14;3;8;10;32;13;13;13;13;13;13;13;13;27;13;27;9;4;14;3;4;3;4;14;14;
4;36;6;13;13;11;7;2;3;4;14;14;14;6;13;13;13;13;9;10;13;13;13;13;13;13;11;2;18;14;14;14;14;14;14;
7;7;12;27;13;13;9;4;36;14;14;1;7;12;13;13;13;13;11;12;13;13;13;13;13;13;13;11;7;2;18;14;14;14;14;
